Region,Zone,Woreda,Pcode,Total Population,IDPs (Acute),Non-Displaced (Acute),TOTAL (Acute),IDPs (Moderate),Non-Displaced (Moderate),TOTAL (Moderate),Grand Total,IDP Male Children,IDP Female Children,IDP Male Adult,IDP Female Adult,IDP Male Elderly,IDP Female Elderly,IDP Male Children2,IDP Female Children2,IDP Male Adult2,IDP Female Adult2,IDP Male Elderly2,IDP Female Elderly2,ND Male Children,ND Female Children,ND Male Adult,ND Female Adult,ND Male Elderly,ND Female Elderly,ND Male Children2,ND Female Children3,ND Male Adult4,ND Female Adult5,ND Male Elderly6,ND Female Elderly7
SNNP,Sidama,Gorche,ET070411,130714.1271,0,818.297081,818.297081,0,29.14732075,29.14732075,847.4444018,0,0,0,0,0,0,0,0,0,0,0,0,219.9087884,213.7886646,174.8897251,170.0224946,20.12372875,19.56367968,7.833037829,7.61504217,6.229481972,6.056113726,0.716796858,0.696848199
SNNP,Sidama,Malga,ET070412,136938.4153,0,0,0,0,1369.384153,1369.384153,1369.384153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.6642551,358.1093462,292.3971387,284.798282,33.64474787,32.77038357
SNNP,Sidama,Wonosho,ET070413,110657.0687,0,4218.200281,4218.200281,0,368.4313945,368.4313945,4586.631675,0,0,0,0,0,0,0,0,0,0,0,0,1134.933609,1100.71254,902.5934265,875.3779918,103.8571321,100.7255815,99.12880952,96.13982958,78.83545889,76.45837391,9.071221248,8.797701387
SNNP,Sidama,Loka Abaya,ET070414,121318.1103,0,963.8233884,963.8233884,1196,1213.181103,2409.181103,3373.004491,0,0,0,0,0,0,346.9694771,363.6821516,198.2984462,207.3304677,39.63108289,40.08837448,260.6496939,250.176702,207.2902754,198.9612828,23.85190595,22.89352839,328.0842598,314.9017246,260.9198406,250.4359942,30.02280491,28.81647857
SNNP,Sidama,Chire,ET070415,148283.9147,0,6284.057313,6284.057313,0,1037.070769,1037.070769,7321.128082,0,0,0,0,0,0,0,0,0,0,0,0,1673.339336,1657.21104,1330.778359,1317.951799,153.1263355,151.6504442,276.1545965,273.4929109,219.6210612,217.5042678,25.27075081,25.02718147
SNNP,Sidama,Bursa,ET070416,127831.6634,0,0,0,0,1278.316634,1278.316634,1278.316634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.3787294,339.1290866,269.1068574,269.7036038,30.96484599,31.03351076
SNNP,Sidama,Chuko,ET070417,208223.8817,0,1448.032861,1448.032861,0,2082.238817,2082.238817,3530.271678,0,0,0,0,0,0,0,0,0,0,0,0,394.0598802,373.3975362,313.3891311,296.9567199,36.06019658,34.16939718,566.6492804,536.9372927,450.6465504,427.0171111,51.85375491,49.13482773
SNNP,Sidama,Bona Zuria,ET070418,152725.7607,0,3757.766582,3757.766582,23600,1527.257607,25127.25761,28885.02419,0,0,0,0,0,0,6846.554899,7176.33677,3912.912485,4091.136319,782.0180236,791.0415031,999.9654802,991.6508083,795.2555659,788.6430485,91.50627508,90.74540415,406.4129193,403.0336126,323.2132934,320.5257881,37.1906162,36.88137775
SNNP,Sidama,Hawasa Town,ET070419,461872.3018,0,0,0,0,4618.723018,4618.723018,4618.723018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.806559,1225.11664,972.4772919,974.3144603,111.8983361,112.1097303
SNNP,Sidama,Wondo-Genet,ET070420,210727.4491,0,2412.628763,2412.628763,0,2107.274491,2107.274491,4519.903254,0,0,0,0,0,0,0,0,0,0,0,0,651.6272491,627.0659952,518.2280859,498.6949377,59.63004072,57.38245428,569.1540701,547.7014104,452.6385671,435.5776311,52.08296679,50.11984604
SNNP,Sidama,Tula Town,ET070421O,2232.873918,0,0,0,0,22.32873918,22.32873918,22.32873918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.911531958,5.922699807,4.701340982,4.710222583,0.540960943,0.541982907
SNNP,Sidama,Yirgalem Town Adm.,ET070486,65702.85734,0,0,0,0,657.0285734,657.0285734,657.0285734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.324374,176.9007699,136.2513654,140.6861784,15.67779649,16.18808932
SNNP,Sidama,Aleta Wondo Town,ET070487,47774.54422,0,0,0,0,477.7454422,477.7454422,477.7454422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.2139209,124.9911635,101.966354,99.40334982,11.73278332,11.43787062
SNNP,Gedeo,Wenago,ET070501,149825.9819,21369,1260.340693,22629.34069,7455,230.9537911,7685.953791,30315.29448,6199.323374,6497.92968,3543.009614,3704.385254,708.0908113,716.2612661,2162.757067,2266.931806,1236.049262,1292.348358,247.0315409,249.8819663,331.4087097,336.5718576,263.5637191,267.669883,30.32702343,30.79950018,60.72968867,61.67582062,48.29729014,49.04973281,5.557339435,5.643919434
SNNP,Gedeo,Yirgachefe,ET070502,218414.3585,62493,4241.576908,66734.57691,6017,141.1901669,6158.190167,72892.76707,18129.73539,19003.00058,10361.42542,10833.36364,2070.790354,2094.684604,1745.581391,1829.661794,997.6268822,1043.066408,199.3814597,201.6820646,1119.095955,1128.939806,889.9980096,897.8266572,102.4078374,103.3086426,37.25155716,37.57923128,29.62553084,29.8861245,3.40886891,3.438854183
SNNP,Gedeo,Kochere,ET070503,168310.417,30423,1323.211467,31746.21147,549,1445.214338,1994.214338,33740.42581,8825.963546,9251.088711,5044.175276,5273.925434,1008.107387,1019.739646,159.2694339,166.9410545,91.02495568,95.17092539,18.19185996,18.40177056,346.7274954,354.5745821,275.7464893,281.9871441,31.72883684,32.44691931,378.6964973,387.2671019,301.1708936,307.9869499,34.65430211,35.43859329
SNNP,Gedeo,Bule,ET070504,132791.9455,18532,1748.431359,20280.43136,1000,329.8824168,1329.882417,21610.31378,5376.286245,5635.248857,3072.631109,3212.58213,614.0829667,621.1686922,290.1082584,304.0820665,165.8013765,173.3532339,33.13635693,33.51870776,464.8091614,461.8594588,369.6548331,367.3089847,42.53442326,42.26449764,87.69710561,87.14057531,69.74401889,69.3014198,8.025112494,7.974184722
SNNP,Gedeo,Dila Zuria,ET070505,119356.4053,3135,494.8656999,3629.8657,2147,34.1327416,2181.132742,5810.998441,909.4893902,953.2972786,519.7873152,543.4623882,103.882479,105.0811488,622.8624309,652.8641969,355.9755553,372.1893931,71.14375834,71.96466555,131.7280517,130.5507693,104.7610826,103.8248099,12.05435944,11.946627,9.085777313,9.004575735,7.22576441,7.161186174,0.831434339,0.824003629
SNNP,Gedeo,Kochere Gedeb,ET070506,180665.2879,82504,11120.67887,93624.67887,24357,1806.652879,26163.65288,119788.3318,23935.09175,25087.98682,13679.27676,14302.33521,2733.881992,2765.427465,7066.166851,7406.526895,4038.424127,4222.364717,807.1022458,816.4151648,2944.039185,2949.920618,2341.344371,2346.021774,269.4073594,269.9455659,478.2852675,479.2407584,380.3721514,381.1320371,43.7676141,43.85505053
SNNP,Gedeo,Dila City Admin,ET070507,127927.406,15144,0,15144,602,1279.27406,1881.27406,17025.27406,4393.399466,4605.018816,2510.896045,2625.261374,501.8169894,507.6073103,174.6451716,183.0574041,99.81242863,104.3586468,19.94808687,20.17826207,0,0,0,0,0,0,342.0333471,335.9819048,272.0133128,267.2007035,31.29927799,30.74551393
